State,County
Amadi State,Mundri West
Amadi State,Mundri East
Amadi State,Mvolo
Amadi State,Bangolo County
Amadi State,Karikyere County
Amadi State,Witto County
Amadi State,Yeri County
Amadi State,Lakama'di County
Amadi State,Koto'bi County
Amadi State,Bahr El Grindi County.
Aweil State,Buonchai
Aweil State,Ajak
Aweil State,Kongdek
Aweil State,Ajuet
Aweil State,Chimel
Aweil State,Mayom Wel
Aweil State,Barmayen
Aweil State,Aroyo
Aweil State,Aweil
Aweil East State,Wunlung
Aweil East State,Malualbaai
Aweil East State,Warguet
Aweil East State,Rumbek
Aweil East State,Madhol
Aweil East State,Wanyjok
Boma State,Pibor County
Boma State,Pochalla
Bieh State,Uror
Bieh State,Nyirol
Bieh State,Akobo
Eastern Lakes State,Awerial North
Eastern Lakes State,Yirol North
Eastern Lakes State,Yirol Centre
Eastern Lakes State,Malek ( Ramciel)
Eastern Lakes State,Madbar
Eastern Lakes State,Lou
Eastern Lakes State,Awerial South
Eastern Lakes State,Aluak-aluak
Eastern Lakes State,Ngop
Eastern Lakes State,Adior ( Yirol East )
Eastern Lakes State,Abang
Eastern Nile,Malakal
Eastern Nile,Renk
Eastern Nile,Melut
Eastern Nile,Baliet
Eastern Nile,Akoka
Eastern Nile,Koma
Eastern Nile,Atar
Eastern Nile,Khor Fulus
Fangak State,Fangak County
Fangak State,Ayod
Fangak State,Canal county
Gbudwe State,Mopoi
Gbudwe State,Ri-Yubu
Gbudwe State,Naandi
Gbudwe State,Bangazagino
Gbudwe State,Basukangbi
Gbudwe State,Sakure
Gbudwe State,Bangasu
Gbudwe State,Nzara
Gbudwe State,Ezo
Gbudwe State,Tombura
Gbudwe State,Nagero
Gbudwe State,Yambio
Gogrial State,Awan Pajook
Gogrial State,Awan Chan
Gogrial State,Awan Riau
Gogrial State,Aguok West
Gogrial State,Aguok Centre
Gogrial State,Aguok North
Gogrial State,Aguok South
Gogrial State,Kuac South
Gogrial State,Kuac North
Gogrial State,Apuk North
Gogrial State,Apuk East
Gogrial State,Apuk West
Gogrial State,Apuk South
Gok State,Cueibet
Gok State,Abiriu
Gok State,Duony
Gok State,Waat
Gok State,Anyar Nguan
Gok State,Malou-Pech
Imatong State,Torit
Imatong State,Torit East
Imatong State,Torit West
Imatong State,Magwi
Imatong State,Pageri
Imatong State,Ayaci
Imatong State,Ikwoto
Imatong State,Geria
Imatong State,Kidepo Valley
Imatong State,Lafon
Imatong State,Imehejek
Imatong State,Lopit West
Jonglei,Kolnyang
Jonglei,Bor South
Jonglei,Bor West
Jonglei,Bor Centre
Jonglei,Bor North
Jonglei,Bor East
Jonglei,Twic North
Jonglei,Twic Center
Jonglei,Twic South
Jonglei,Duk Padiet
Jonglei,Duk Payul
Jonglei,Panyang
Jubek State,Nyarkenyi
Jubek State,Mangala
Jubek State,Rajaf (Rejaf)
Jubek State,Wonduruba
Jubek State,Lobonok
Jubek State,Rokon
Jubek State,Oponi
Latjor State,Nasir County
Latjor State,Ulang County
Latjor State,Thorow County
Latjor State,Malow County
Latjor State,Thior County
Lol State,Gomjuer West
Lol State,Gomjuer East
Lol State,Marialbai
Lol State,Majakbai
Lol State,Malual North
Lol State,Malual Centre
Lol State,Korok East
Lol State,Korok West
Lol State,Kuru
Lol State,Ringi
Lol State,Ere
Maridi State,Ibba County
Maridi State,Maridi County
Namorunyang State,Kapoeta South
Namorunyang State,Kapoeta North
Namorunyang State,Kapoeta East
Namorunyang State,Budi
Namorunyang State,Kimotong
Namorunyang State,Ngauro
Namorunyang State,Kauto
Namorunyang State,Kimo
Northern Liech,Rubkona
Northern Liech,Guit
Northern Liech,Koch County
Northern Liech,Mayom
Ruweng State,Pariang
Ruweng State,Abienmhom
Southern Liech,Mayendit
Southern Liech,Panyijar
Southern Liech,Leer
Terekeka State,Terekeka
Terekeka State,Jemeza
Terekeka State,Tali
Terekeka State,Tigor
Terekeka State,Gwor
Tonj State,Alabek
Tonj State,Konggor
Tonj State,Akop
Tonj State,Lou Paher
Tonj State,Rualbet
Tonj State,Lou Pa
Tonj State,Warrap
Tonj State,Manloor
Tonj State,Kirik
Tonj State,Pagol
Tonj State,Luanyjang South
Tonj State,Luanyjang North
Tonj State,Luanyjang Centre
Tonj State,Luanyjang East
Tonj State,Ananatak
Tonj State,Manyang-Ngok
Tonj State,Wanhalel
Tonj State,Thiet
Tonj State,Tonj
Tonj State,Awul
Tonj State,Palal
Tonj State,Jak
Twic State,Akoc
Twic State,Panyok
Twic State,Wunrok
Twic State,Ajak
Twic State,Turalei
Twic State,Aweng
Wau State,Kuarjina
Wau State,Roc Roc Dong
Wau State,Marial Bai
Wau State,Odechy
Wau State,Kangi
Wau State,Busalia
Wau State,Bagari
Wau State,Baili
Western Lakes State,Rumbek North
Western Lakes State,Rumbek East
Western Lakes State,Rumbek Central
Western Lakes State,Wulu
Western Lakes State,matangai county
Western Lakes State,Rongai county
Western Lakes State,malual kodi county
Fashoda Nile,Panyikang
Fashoda Nile,Kodok
Fashoda Nile,Manyo
Yei River State,ŋepo
Yei River State,Kindi
Yei River State,Otogo
Yei River State,Tore
Yei River State,Wuji
Yei River State,Yei River
Yei River State,Morobo
Yei River State,Kajo-Keji
Yei River State,Kupera
Yei River State,Lainya
Maiwut State,Koma
Maiwut State,Longuchuk
Maiwut State,Maiwut